goos: linux
goarch: amd64
pkg: github.com/StevenPG/demos/go-1-27-json-v2/bench
cpu: Intel(R) Xeon(R) Processor @ 2.10GHz
BenchmarkMarshal/Small/impl=v1-4         	 1939719	       645.7 ns/op	 178.11 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v1-4         	 1790671	       671.2 ns/op	 171.34 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v1-4         	 1666449	       723.1 ns/op	 159.03 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v1-4         	 1875285	       635.4 ns/op	 180.98 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v1-4         	 1805112	       659.0 ns/op	 174.50 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v1-4         	 1913802	       642.9 ns/op	 178.89 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v1-4         	 1847904	       650.4 ns/op	 176.81 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v1-4         	 1817658	       660.3 ns/op	 174.17 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v1-4         	 1876593	       647.6 ns/op	 177.58 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v1-4         	 1951060	       635.1 ns/op	 181.09 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v2-4         	 1897790	       636.1 ns/op	 180.80 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v2-4         	 1829343	       633.0 ns/op	 181.66 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v2-4         	 1866888	       638.4 ns/op	 180.13 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v2-4         	 1839938	       651.8 ns/op	 176.44 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v2-4         	 1752873	       696.0 ns/op	 165.23 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v2-4         	 1662812	       705.1 ns/op	 163.10 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v2-4         	 1716093	       688.0 ns/op	 167.16 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v2-4         	 1784571	       670.4 ns/op	 171.54 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v2-4         	 1703450	       705.2 ns/op	 163.08 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Small/impl=v2-4         	 1713129	       706.5 ns/op	 162.78 MB/s	     208 B/op	       2 allocs/op
BenchmarkMarshal/Nested/impl=v1-4        	  179356	      6677 ns/op	 189.00 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v1-4        	  177826	      6620 ns/op	 190.62 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v1-4        	  192801	      6706 ns/op	 188.19 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v1-4        	  178450	      6590 ns/op	 191.51 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v1-4        	  180520	      6758 ns/op	 186.75 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v1-4        	  181608	      6675 ns/op	 189.06 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v1-4        	  154286	      7021 ns/op	 179.75 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v1-4        	  174789	      6621 ns/op	 190.60 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v1-4        	  183156	      6566 ns/op	 192.19 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v1-4        	  182270	      7101 ns/op	 177.72 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v2-4        	  167540	      7077 ns/op	 178.33 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v2-4        	  175050	      7257 ns/op	 173.89 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v2-4        	  163196	      7057 ns/op	 178.83 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v2-4        	  179004	      6998 ns/op	 180.33 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v2-4        	  166100	      7183 ns/op	 175.69 MB/s	    1280 B/op	       1 allocs/op
BenchmarkMarshal/Nested/impl=v2-4        	  164109	      7042 ns/op	 179.20 MB/s	    1280 B/op	       1 allocs/op
